techniqueID,technique_name,tactic,score,is_subtechnique,atomic_link
T1083,File and Directory Discovery,discovery,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1083/T1083.md
T1087.002,Domain Account,discovery,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1087.002/T1087.002.md
T1090.001,Internal Proxy,command-and-control,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1090.001/T1090.001.md
T1090.002,External Proxy,command-and-control,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1090.002/T1090.002.md
T1098,Account Manipulation,persistence,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1098/T1098.md
T1098,Account Manipulation,privilege-escalation,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1098/T1098.md
T1102.002,Bidirectional Communication,command-and-control,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1102.002/T1102.002.md
T1104,Multi-Stage Channels,command-and-control,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1104/T1104.md
T1106,Native API,execution,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1106/T1106.md
T1110,Brute Force,credential-access,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1110/T1110.md
T1110.003,Password Spraying,credential-access,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1110.003/T1110.003.md
T1124,System Time Discovery,discovery,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1124/T1124.md
T1134.002,Create Process with Token,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1134.002/T1134.002.md
T1134.002,Create Process with Token,privilege-escalation,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1134.002/T1134.002.md
T1140,Deobfuscate/Decode Files or Information,defense-evasion,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1140/T1140.md
T1202,Indirect Command Execution,defense-evasion,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1202/T1202.md
T1204.001,Malicious Link,execution,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1204.001/T1204.001.md
T1218,System Binary Proxy Execution,defense-evasion,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1218/T1218.md
T1218.005,Mshta,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1218.005/T1218.005.md
T1218.010,Regsvr32,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1218.010/T1218.010.md
T1218.011,Rundll32,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1218.011/T1218.011.md
T1220,XSL Script Processing,defense-evasion,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1220/T1220.md
T1221,Template Injection,defense-evasion,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1221/T1221.md
T1485,Data Destruction,impact,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1485/T1485.md
T1489,Service Stop,impact,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1489/T1489.md
T1491.001,Internal Defacement,impact,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1491.001/T1491.001.md
T1497.001,System Checks,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1497.001/T1497.001.md
T1497.001,System Checks,discovery,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1497.001/T1497.001.md
T1497.003,Time Based Checks,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1497.003/T1497.003.md
T1497.003,Time Based Checks,discovery,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1497.003/T1497.003.md
T1505.004,IIS Components,persistence,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1505.004/T1505.004.md
T1529,System Shutdown/Reboot,impact,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1529/T1529.md
T1534,Internal Spearphishing,lateral-movement,4,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1534/T1534.md
T1542.003,Bootkit,persistence,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1542.003/T1542.003.md
T1542.003,Bootkit,defense-evasion,4,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1542.003/T1542.003.md
